166	229	216
143	230	211
137	225	208
106	223	203
51	217	194
0	207	181
0	149	120
0	147	128
0	121	95
26	124	112
0	99	79
54	112	104
143	212	188
126	211	185
118	224	192
85	222	183
109	205	177
69	191	161
63	212	173
47	210	168
102	207	227
85	206	230
98	208	223
66	204	223
0	193	222
0	187	220
0	191	213
0	188	212
0	166	206
0	171	209
0	171	199
0	168	195
0	143	190
0	138	179
0	138	171
0	138	167
0	125	164
0	123	155
182	179	223
173	173	221
169	163	223
184	180	232
204	210	233
202	211	240
196	213	236
198	218	245
185	203	234
178	200	238
151	148	210
154	154	212
139	131	214
156	152	223
159	173	228
161	174	233
167	197	237
167	199	243
90	135	217
103	134	215
255	163	136
144	164	207
157	174	214
115	139	191
131	151	199
130	147	184
132	147	181
108	126	170
119	132	167
98	117	146
109	121	143
76	104	150
98	116	150
213	15	103
214	80	121
55	81	130
88	102	137
136	189	232
127	184	233
123	172	227
135	177	231
155	189	170
153	190	173
166	188	176
161	184	175
175	201	184
181	208	192
190	205	194
191	209	199
27	60	51
73	93	91
34	54	42
94	104	94
0	88	77
68	108	104
94	114	96
106	119	111
0	110	98
62	127	123
114	132	114
121	135	127
